QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20191,03901454,24,0,5,01,D,100,D,.0714,D,30331,D,15,D,275,D,,A,,A,,A,,A,0,D,167,D,168,D,169,D,108,D,107,D,106,D,,A,10,D,2010,D,1,D,,A,18139,D,17972,D,17804,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03905134,32,0,5,01,D,100,D,.0525,F,100000,F,15,F,804,F,,A,,A,,A,,A,0,F,982,F,986,F,990,F,30,F,26,F,22,F,,A,06,F,2004,F,2,F,,A,5530,F,4750,F,3967,F,01,D,,A,,A,,A,1012,F,1012,F,1012,F,1,D,2,D
20191,03905794,30,0,5,01,D,100,D,.0450,D,115787,D,10,D,1200,D,,A,,A,,A,,A,0,D,780,D,783,D,786,D,420,D,417,D,414,D,,A,06,D,2018,D,1,D,,A,111929,D,111149,D,110366,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03906174,22,0,5,01,D,100,D,.0474,D,80000,D,10,D,838,D,,A,,A,,A,,A,0,D,832,D,835,D,838,D,368,D,365,D,362,D,,A,08,D,2016,D,2,D,,A,65147,D,64566,D,63982,D,01,D,,A,2,D,,A,1200,D,1200,D,1200,D,1,D,2,D
20191,03906634,22,0,5,01,D,100,D,.0500,D,8000,D,8,D,180,D,,B,,B,,B,,B,79,D,92,D,92,D,92,D,9,D,9,D,9,D,,A,10,D,2012,D,1,D,,A,2241,D,2149,D,2057,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03908474,24,0,5,01,D,100,D,.0440,D,60000,D,10,D,619,D,,A,,A,,A,,A,0,D,495,D,497,D,498,D,84,D,82,D,81,D,,A,06,D,2012,D,2,D,,A,24581,D,24052,D,23521,D,01,D,,A,,A,3,D,579,D,579,D,579,D,1,D,2,D
20191,03908674,13,0,5,01,D,100,D,.0500,D,64398,D,20,D,425,D,,A,,A,,A,,A,0,D,341,D,342,D,344,D,84,D,83,D,81,D,,A,04,D,2003,D,1,D,,A,20173,D,19832,D,19490,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03909484,30,0,5,01,D,100,D,.0600,D,26121,D,10,D,290,D,,A,,A,,A,,A,0,D,173,D,173,D,174,D,117,D,117,D,116,D,,A,07,D,2017,D,1,D,,A,23473,D,23300,D,23127,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03912494,23,0,5,01,D,400,D,.0521,D,,T,10,D,1437,D,3,D,4,D,,A,,A,0,D,,T,,T,,T,181,D,175,D,170,D,,A,06,D,2011,D,1,D,,A,41595,D,40339,D,39077,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03912554,30,0,5,01,D,100,D,.0440,D,125000,D,10,D,1289,D,,A,,A,,A,,A,0,D,1197,T,1202,T,1211,T,431,D,427,D,423,D,,A,04,D,2016,D,2,D,,A,97766,D,96835,D,95901,D,01,D,1,D,,A,,A,1309,D,1297,D,1550,D,1,D,2,D
20191,03923754,24,0,5,01,D,100,D,.0460,D,55000,D,15,D,895,D,,B,,B,,B,,B,471,D,251,D,252,D,253,D,173,D,172,D,171,D,,A,05,D,2015,D,1,D,,A,45056,D,44804,D,44552,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03924894,20,0,5,01,D,100,D,.0549,D,39312,D,15,D,321,D,,A,,A,,A,,A,0,D,145,D,146,D,146,D,176,D,175,D,175,D,,A,06,D,2018,D,1,D,,A,38455,D,38310,D,38165,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03926514,42,0,5,01,D,100,D,.0440,D,50000,D,17,D,350,D,,B,,B,,B,,B,1,D,181,D,182,D,182,D,168,D,167,D,167,D,,A,12,D,2016,D,1,D,,A,45852,D,45671,D,45489,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03927424,18,0,5,01,D,100,D,.0420,D,35345,D,15,D,265,D,,A,,A,,A,,A,0,D,164,D,165,D,165,D,101,D,100,D,100,D,,A,05,D,2015,D,1,D,,A,28801,D,28637,D,28472,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03930154,32,0,5,01,D,100,D,.0530,D,30000,D,20,D,400,D,,B,,B,,B,,B,197,D,161,D,162,D,163,D,42,D,41,D,40,D,,A,04,D,2003,D,1,D,,A,9410,D,9249,D,9087,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03930824,54,0,5,01,D,100,D,.0550,D,50000,D,15,D,409,D,,A,,A,,A,,A,0,D,235,D,236,D,237,D,265,D,264,D,263,D,,A,09,D,2017,D,2,D,,A,47221,D,47029,D,46836,D,01,D,1,D,,A,,A,300,D,500,D,500,D,1,D,2,D
20191,03930834,27,0,5,01,D,100,D,.0440,D,60000,D,15,D,3363,T,3,D,4,D,,A,,A,2844,D,307,D,308,D,309,D,149,D,148,D,147,D,,A,12,D,2012,D,1,D,,A,40594,D,40287,D,39979,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03945393,18,0,5,01,D,100,D,.0475,D,22000,D,15,D,171,D,,A,,A,,A,,A,0,D,108,D,108,D,109,D,63,D,63,D,62,D,,A,06,D,2013,D,1,D,,A,15901,D,15793,D,15685,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03946993,25,0,5,01,D,100,D,.0690,D,4859,D,8,D,66,D,,A,,A,,A,,A,0,D,,A,38,D,38,D,,A,28,D,28,D,,A,11,D,2018,D,1,D,,A,,A,4859,D,4821,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03947143,32,0,5,01,D,100,D,.0475,D,30000,D,5,D,640,D,,B,,B,,B,,B,77,D,477,D,479,D,481,D,86,D,84,D,82,D,,A,04,D,2017,D,1,D,,A,21729,D,21252,D,20773,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03947743,15,0,5,01,D,100,D,.0440,D,30000,D,15,D,515,D,,B,,B,,B,,B,287,D,130,D,131,D,131,D,98,D,97,D,97,D,,A,07,D,2016,D,1,D,,A,26657,D,26527,D,26396,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03952323,29,0,5,01,D,100,D,.0492,D,50000,D,15,D,568,D,,B,,B,,B,,B,175,D,232,D,233,D,234,D,161,D,160,D,159,D,,A,07,D,2014,D,1,D,,A,39360,D,39128,D,38896,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03953333,24,0,5,01,D,100,D,.0475,D,70000,D,15,D,580,D,,A,,A,5,D,,A,36,D,268,D,269,D,270,D,276,D,275,D,274,D,,A,09,D,2018,D,1,D,,A,69733,D,69465,D,69196,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03953363,19,0,5,01,D,100,D,.0525,F,100000,F,15,F,804,F,,A,,A,,A,,A,0,F,982,F,986,F,990,F,30,F,26,F,22,F,,A,06,F,2004,F,2,F,,A,5530,F,4750,F,3967,F,01,D,,A,,A,,A,1012,F,1012,F,1012,F,1,D,2,D
20191,03965103,18,0,5,01,D,100,D,.0519,D,37384,D,10,D,400,D,,A,,A,,A,,A,0,D,,A,,A,238,D,,A,,A,162,D,,A,01,D,2019,D,1,D,012019,D,,A,,A,37384,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03965673,73,0,5,01,D,100,D,.0450,D,150000,D,20,D,949,D,,A,,A,,A,6,D,0,D,761,D,764,D,767,D,188,D,185,D,182,D,,A,10,D,2003,D,2,D,,A,50138,D,49377,D,48613,D,01,D,1,D,,A,,A,400,D,400,D,483,D,,A,,A
20191,03966133,39,0,5,01,D,100,D,.0475,D,33389,D,7,D,468,D,,A,,A,,A,,A,0,D,352,D,354,D,355,D,116,D,114,D,113,D,,A,11,D,2017,D,1,D,,A,29270,D,28918,D,28564,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03968933,32,0,5,01,D,100,D,.0530,F,30000,F,20,F,400,F,,B,,B,,B,,B,197,F,161,F,162,F,163,F,42,F,41,F,40,F,,A,04,F,2003,F,1,F,,A,9410,F,9249,F,9087,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03970803,28,0,5,01,D,100,D,.0492,D,85167,D,10,D,900,D,,A,,A,,A,,A,0,D,,A,,A,698,D,,A,,A,202,D,,A,03,D,2014,D,1,D,012019,D,,A,,A,49184,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03971943,22,0,5,01,D,100,D,.1000,F,50000,F,15,F,750,F,,B,,B,,B,,B,213,F,278,F,281,F,283,F,259,F,256,F,254,F,,A,06,F,2010,F,1,F,,A,31053,F,30774,F,30494,F,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D
20191,03974103,55,0,5,01,D,100,D,.0595,D,27000,D,10,D,356,D,,B,,B,,B,,B,57,D,203,D,204,D,205,D,96,D,95,D,94,D,,A,05,D,2015,D,1,D,,A,19311,D,19108,D,18903,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03987773,15,0,1,01,D,100,D,.0530,F,30000,F,20,F,400,F,,B,,B,,B,,B,197,F,161,F,162,F,163,F,42,F,41,F,40,F,,A,04,F,2003,F,1,F,,A,9410,F,9249,F,9087,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03990403,16,0,5,01,D,100,D,.0818,D,40000,D,20,D,350,D,3,D,,A,,A,,A,11,D,332,D,334,D,336,D,7,D,5,D,3,D,,A,03,D,1999,D,1,D,,A,1045,D,713,D,379,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03990473,24,0,5,01,D,100,D,.0716,D,40000,D,13,D,400,D,,B,,B,,B,,B,5,D,368,D,370,D,373,D,27,D,25,D,22,D,,A,12,D,2006,D,1,D,,A,4491,D,4123,D,3752,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03995743,21,0,5,01,D,100,D,.0525,D,54000,D,2,D,3363,T,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,02,D,2019,D,2,D,022019,D,58250,D,56130,D,54000,D,01,D,1,D,,A,,A,400,D,600,D,400,D,1,D,2,D
20191,03995743,43,0,5,01,D,100,D,.0475,D,39000,D,30,D,,A,,A,,A,,A,,A,0,F,,A,,A,,A,,A,,A,,A,022019,D,03,F,2019,F,2,D,,A,,A,,A,,A,01,D,1,D,,A,,A,400,D,400,D,400,D,1,D,2,D
20191,03996323,19,0,5,01,D,100,D,.0450,F,75000,F,30,D,380,F,,A,,A,,A,,A,0,F,107,F,107,F,108,F,273,F,273,F,272,F,,A,01,F,2017,F,1,D,,A,72739,F,72632,F,72525,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20191,04007142,12,0,1,01,D,100,D,.0470,F,16000,F,10,F,167,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,,A,,A,,A,,A,10,F,2013,F,2,F,,A,16000,F,16000,F,16000,F,01,D,1,D,,A,,A,14750,V,200,F,300,F,,A,2,D
20191,04009272,15,0,5,01,D,100,D,.0900,F,20000,F,10,F,372,F,,A,,A,,A,6,F,119,F,180,F,182,F,183,F,73,F,71,F,70,F,,A,08,F,2012,F,1,F,,A,9681,F,9501,F,9319,F,01,D,,A,2,D,,A,,A,,A,,A,,A,,A
20191,04009942,37,0,5,01,D,100,D,.0400,D,25000,D,10,D,468,D,,B,,B,,B,,B,215,D,171,D,171,D,172,D,82,D,82,D,81,D,,A,08,D,2018,D,1,D,,A,24660,D,24489,D,24318,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04010862,29,0,5,01,D,100,D,.0709,D,58364,D,11,D,638,D,,A,,A,,A,,A,0,D,634,D,,A,,A,4,D,,A,,A,,A,11,D,2007,D,1,D,,A,634,D,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04013552,11,0,5,01,D,100,D,.0440,F,50000,F,17,F,350,F,,B,,B,,B,,B,1,F,181,F,182,F,182,F,168,F,167,F,167,F,,A,12,F,2016,F,1,F,,A,45852,F,45671,F,45489,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04014612,41,0,5,01,D,100,D,.0400,D,50000,D,10,D,512,D,,B,,B,,B,,B,6,D,340,D,342,D,343,D,166,D,164,D,163,D,,A,09,D,2018,D,1,D,,A,49661,D,49320,D,48979,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04015562,38,0,5,01,D,100,D,.0440,D,46059,D,15,D,350,D,,A,,A,,A,,A,0,D,201,D,201,D,202,D,149,D,149,D,148,D,,A,06,D,2016,D,1,D,,A,40729,D,40528,D,40326,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04028152,29,0,5,01,D,100,D,.0679,D,5600,D,18,D,45,D,,A,,A,,A,,A,0,D,26,D,26,D,26,D,19,D,19,D,19,D,,A,11,D,2008,D,1,D,,A,3322,D,3296,D,3270,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04028192,30,0,5,01,D,100,D,.0440,D,50000,D,15,D,490,D,,B,,B,,B,,B,110,D,219,D,219,D,220,D,161,D,161,D,160,D,,A,06,D,2016,D,1,D,,A,43994,D,43775,D,43556,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04032122,17,0,5,01,D,100,D,.0500,D,85000,D,10,D,1100,D,3,D,4,D,,A,,A,198,D,590,D,593,D,595,D,312,D,309,D,307,D,,A,05,D,2017,D,1,D,,A,74782,D,74191,D,73599,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04032272,24,0,5,01,D,100,D,.0475,D,28669,D,15,D,223,D,,A,,A,,A,,A,0,D,119,D,120,D,120,D,104,D,103,D,103,D,,A,01,D,2017,D,1,D,,A,26157,D,26037,D,25917,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04036202,46,0,5,01,D,100,D,.1000,D,50000,D,15,D,750,D,,B,,B,,B,,B,213,D,278,D,281,D,283,D,259,D,256,D,254,D,,A,06,D,2010,D,1,D,,A,31053,D,30774,D,30494,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04037212,18,0,5,01,D,100,D,.0525,D,100000,D,15,D,804,D,,A,,A,,A,,A,0,D,982,D,986,D,990,D,30,D,26,D,22,D,,A,06,D,2004,D,2,D,,A,5530,D,4750,D,3967,D,01,D,1,D,,A,,A,1012,D,1012,D,1012,D,1,D,2,D
20191,04037962,19,0,5,01,D,100,D,.0900,D,20000,D,10,D,372,D,,A,,A,,A,6,D,119,D,180,D,182,D,183,D,73,D,71,D,70,D,,A,08,D,2012,D,1,D,,A,9681,D,9501,D,9319,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A
20191,04039952,22,0,5,01,D,100,D,.0500,D,226250,T,15,D,3363,T,,A,,A,,A,,A,0,D,871,D,874,D,878,D,136,D,133,D,129,D,,A,11,D,2006,D,2,D,,A,64261,D,62552,D,60836,D,01,D,1,D,,A,,A,1007,D,1007,D,1007,D,1,D,2,D
20191,04040512,22,0,5,01,D,100,D,.0475,D,48889,D,5,D,917,D,,A,,A,,A,,A,0,D,777,D,780,D,783,D,140,D,137,D,134,D,,A,06,D,2017,D,1,D,,A,35419,D,34642,D,33862,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04040622,27,0,5,01,D,100,D,.0425,D,75000,D,20,D,535,D,,B,,B,,B,,B,71,D,210,D,211,D,211,D,254,D,253,D,253,D,,A,08,D,2017,D,1,D,,A,71740,D,71530,D,71320,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04040872,28,0,5,01,D,100,D,.0440,D,62643,D,5,D,1165,D,3,D,,A,,A,,A,0,D,1197,T,1202,T,1211,T,117,D,113,D,110,D,,A,05,D,2016,D,1,D,,A,31996,D,30948,D,29897,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04042962,7,0,1,01,D,100,D,.0500,F,64398,F,20,F,425,F,,A,,A,,A,,A,0,F,341,F,342,F,344,F,84,F,83,F,81,F,,A,04,F,2003,F,1,F,,A,20173,F,19832,F,19490,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04045922,43,0,5,01,D,100,D,.0440,D,67316,D,15,D,666,D,3,D,4,D,,A,,A,154,D,299,D,300,D,301,D,213,D,212,D,211,D,,A,03,D,2016,D,1,D,,A,58032,D,57733,D,57432,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04046622,17,0,5,01,D,100,D,.0449,D,14539,D,15,D,220,D,,B,,B,,B,,B,109,D,,A,,A,57,D,,A,,A,54,D,,A,02,D,2019,D,1,D,022019,D,,A,,A,14539,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04046622,31,0,5,01,D,100,D,.0460,D,15000,D,15,D,116,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,022019,D,06,D,2015,D,2,D,,A,12362,D,12294,D,12225,D,01,D,,A,2,D,,A,,A,,A,,A,1,D,2,D
20191,04070461,35,0,1,01,D,100,D,.0475,D,76132,D,5,D,1428,D,,A,,A,,A,,A,0,D,1197,T,1202,T,1211,T,279,D,274,D,270,D,,A,05,D,2018,D,1,D,,A,70454,D,69305,D,68151,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04076071,24,0,1,01,D,100,D,.0400,D,13000,D,5,D,250,D,,B,,B,,B,,B,11,D,198,D,199,D,200,D,41,D,40,D,39,D,,A,06,D,2018,D,1,D,,A,12213,D,12015,D,11816,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04076661,17,0,1,01,D,100,D,.0399,D,90000,D,30,F,429,F,,A,,A,,A,,A,0,F,221,F,222,F,222,F,208,F,207,F,207,F,,A,06,F,2005,F,1,D,,A,62398,F,62176,F,61954,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20191,04077271,23,0,1,01,D,100,D,.0440,D,53705,D,10,D,554,D,3,D,4,D,,A,,A,0,D,388,D,390,D,391,D,166,D,164,D,163,D,,A,11,D,2016,D,1,D,,A,45152,D,44764,D,44374,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04077311,8,0,1,01,D,100,D,.0825,D,20000,D,30,D,150,D,,A,,A,,A,,A,0,F,98,F,98,F,99,F,53,F,52,F,51,F,,A,01,F,1994,D,1,D,,A,7564,F,7466,F,7367,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20191,04077791,7,0,1,01,D,100,D,.0492,D,10000,D,5,D,365,D,,B,,B,,B,,B,177,D,180,D,181,D,182,D,8,D,7,D,6,D,,A,08,D,2014,D,1,D,,A,1861,D,1680,D,1499,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04078911,14,0,1,01,D,100,D,.0300,D,226250,T,30,F,716,D,,A,,A,,A,,A,0,F,379,F,380,F,381,F,338,F,337,F,336,F,,A,01,F,2010,D,2,D,,A,148487,V,147606,V,146722,V,01,D,1,D,,A,,A,2100,D,700,D,700,D,,C,,A
20191,04079471,12,0,1,01,D,100,D,.0550,D,13000,D,1,D,1116,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,,A,,A,,A,,A,11,D,2018,D,2,D,,A,13000,D,13000,D,13000,D,01,D,1,D,,A,,A,0,D,14,D,157,D,,A,2,D
20191,04079931,51,0,1,01,D,100,D,.0410,D,80000,D,20,D,650,D,,B,,B,,B,,B,161,D,246,D,246,D,247,D,122,D,122,D,121,D,,A,08,D,2015,D,1,D,,A,71265,D,71019,D,70773,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04092551,35,0,1,01,D,100,D,.0485,D,40000,D,20,D,433,D,,B,,B,,B,,B,172,D,157,D,157,D,158,D,104,D,104,D,103,D,,A,06,D,2009,D,1,D,,A,25809,D,25652,D,25495,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04092821,14,0,1,01,D,100,D,.0450,F,115787,F,10,F,1200,F,,A,,A,,A,,A,0,F,780,F,783,F,786,F,420,F,417,F,414,F,,A,06,F,2018,F,1,F,,A,111929,F,111149,F,110366,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04094531,22,0,1,01,D,100,D,.0440,D,69000,D,15,D,550,D,,B,,B,,B,,B,26,D,306,D,307,D,308,D,218,D,217,D,216,D,,A,02,D,2016,D,1,D,,A,59512,D,59206,D,58899,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04094671,8,0,1,01,D,100,D,.0475,D,25000,D,15,D,194,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,07,D,2017,D,2,D,,A,23426,D,23324,D,23222,D,01,D,1,D,,A,,A,576,D,576,D,576,D,1,D,2,D
20191,04095521,10,0,1,01,D,100,D,.0475,D,9538,D,10,D,200,D,,A,,A,,A,6,D,100,D,,A,,A,62,D,,A,,A,38,D,,A,01,D,2019,D,1,D,,A,,A,,A,9538,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A
20191,04098581,29,0,1,01,D,100,D,.0440,D,52347,D,10,D,540,D,,A,,A,,A,,A,0,D,386,D,387,D,388,D,154,D,153,D,152,D,,A,07,D,2016,D,1,D,,A,42103,D,41718,D,41331,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04098781,14,0,1,01,D,100,D,.0450,D,10000,D,10,D,104,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,05,D,2018,D,2,D,,A,9599,D,9532,D,9464,D,01,D,1,D,,A,,A,300,D,300,D,300,D,1,D,2,D
20191,04099261,13,0,1,01,D,100,D,.0475,D,18660,D,5,D,350,D,,A,,A,,A,,A,0,D,294,D,295,D,296,D,56,D,55,D,54,D,,A,07,D,2017,D,1,D,,A,14108,D,13814,D,13519,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04100381,34,0,1,01,D,100,D,.0500,D,12539,D,10,D,133,D,,A,,A,,A,,A,0,D,89,D,90,D,90,D,44,D,43,D,43,D,,A,11,D,2016,D,1,D,,A,10505,D,10416,D,10326,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04101741,22,0,1,01,D,100,D,.0550,D,50000,D,15,D,409,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,12,D,2014,D,2,D,,A,40394,D,40171,D,39946,D,01,D,1,D,,A,,A,200,D,300,D,300,D,1,D,2,D
20191,04102871,29,0,1,01,D,100,D,.0475,D,8000,D,10,D,820,D,,B,,B,,B,,B,736,D,56,D,56,D,56,D,28,D,28,D,28,D,,A,07,D,2017,D,1,D,,A,7082,D,7026,D,6969,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04104991,37,0,1,01,D,100,D,.0440,D,97611,D,6,D,1545,D,,A,,A,,A,,A,0,D,1197,T,1202,T,1211,T,249,D,244,D,239,D,,A,12,D,2016,D,1,D,,A,67886,D,66590,D,65290,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04105691,14,0,1,01,D,100,D,.0475,D,20000,D,20,D,150,D,,B,,B,,B,,B,21,D,53,D,53,D,53,D,76,D,76,D,76,D,,A,09,D,2017,D,1,D,,A,19231,D,19179,D,19125,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04107261,26,0,1,01,D,100,D,.0550,F,50000,F,15,F,409,F,,A,,A,,A,,A,0,F,235,F,236,F,237,F,265,F,264,F,263,F,,A,09,F,2017,F,2,F,,A,47221,F,47029,F,46836,F,01,D,,A,,A,,A,300,F,500,F,500,F,1,D,2,D
20191,04107891,19,0,1,01,D,100,D,.0450,D,57636,D,9,D,650,D,,A,,A,,A,,A,0,D,440,D,442,D,444,D,210,D,208,D,206,D,,A,08,D,2018,D,1,D,,A,55891,D,55450,D,55008,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04108881,12,0,1,01,D,100,D,.0470,D,16000,D,10,D,167,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,,A,,A,,A,,A,10,D,2013,D,2,D,,A,16000,D,16000,D,16000,D,01,D,1,D,,A,,A,14750,T,200,D,300,D,,A,2,D
20191,04109131,27,0,1,01,D,100,D,.0425,D,50000,D,10,D,512,D,,A,,A,,A,,A,0,D,,A,335,D,336,D,,A,177,D,176,D,,A,01,D,2019,D,1,D,,A,,A,50000,D,49665,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04110041,22,0,1,01,D,100,D,.0500,D,12646,D,15,D,100,D,,A,,A,,A,,A,0,D,52,D,52,D,52,D,48,D,48,D,48,D,,A,01,D,2017,D,1,D,,A,11507,D,11454,D,11402,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04111381,20,0,1,01,D,200,D,.0600,D,140000,D,10,D,1554,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,01,D,2015,D,2,D,,A,94865,D,93785,D,92700,D,01,D,1,D,,A,,A,600,D,600,D,600,D,1,D,2,D
